Episode,Total Reward,Epsilon
124,13278.507570458447,0.1
125,14340.903632132295,0.1
126,14218.297256569535,0.1
127,12158.89230887444,0.1
128,12210.322965612711,0.1
129,12901.972785240248,0.1
130,14773.012790092245,0.1
131,14498.069159081868,0.1
132,15428.73802847056,0.1
133,11336.746080213568,0.1
134,12406.192348671013,0.1
135,17922.91895705569,0.1
136,15854.37662784528,0.1
137,16661.900677423695,0.1
138,14772.833992719197,0.1
139,13682.984865782977,0.1
140,11560.604458443642,0.1
141,15760.209299288917,0.1
142,12441.15075669618,0.1
143,14545.772192657298,0.1
144,12155.614223659906,0.1
145,14514.107280563703,0.1
146,9949.773246080207,0.1
147,29522.14284523352,0.1
148,12573.5436545822,0.1
149,31149.029305202213,0.1
150,26166.73104348018,0.1
151,24532.45509537579,0.1
152,14035.561486258497,0.1
153,19390.95699090036,0.1
154,14784.571766963156,0.1
155,15534.99784394011,0.1
156,12098.153474763798,0.1
157,15941.366196669185,0.1
158,14691.823402217473,0.1
159,12626.877568810058,0.1
160,10560.11122371434,0.1
161,10687.17669977703,0.1
162,15195.606446094718,0.1
163,11162.605385129405,0.1
164,13108.624950150488,0.1
165,12791.117998821317,0.1
166,12130.966959485024,0.1
167,13341.80508972506,0.1
168,12449.606714807545,0.1
169,21691.632127265588,0.1
170,14641.9546030338,0.1
171,14646.686168327324,0.1
172,12987.07806938573,0.1
173,12121.561034493769,0.1
174,13202.227035031923,0.1
175,23274.657328170397,0.1
176,11470.91251043589,0.1
177,13381.303833839602,0.1
178,13313.70614626926,0.1
179,14186.38524062333,0.1
180,14467.039254152285,0.1
180,13553.552409740341,0.1
181,10223.714665826667,0.1
182,16171.750067147408,0.1
183,15015.389774193996,0.1
183,11100.91784767009,0.1
184,12853.549467103277,0.1
185,15340.020881364011,0.1
186,10887.220580970874,0.1
187,33202.015900746315,0.1
188,23913.529624922543,0.1
189,18489.127594076548,0.1
190,14243.429291708737,0.1
191,11528.79953657036,0.1
192,13034.025357531187,0.1
193,12229.484291853165,0.1
194,28433.9368519965,0.1
195,26429.35485236879,0.1
196,33306.60992096756,0.1
197,14141.226978091374,0.1
198,13702.500634917671,0.1
199,16602.70405428787,0.1
200,14925.633030644842,0.1
201,15817.851189865893,0.1
202,23155.39309885862,0.1
203,9969.728257007471,0.1
204,16611.139687943214,0.1
205,17833.531197932374,0.1
206,14538.54232936493,0.1
207,16476.739814744302,0.1
208,13589.849600403066,0.1
208,25770.549766912758,0.1
209,16405.289248837515,0.1
210,16858.88835214118,0.1
211,17149.740269477457,0.1
212,23961.207565528795,0.1
213,15814.596413074307,0.1
214,18519.09945496037,0.1
215,18063.635580923252,0.1
216,10283.549758574962,0.1
217,25279.41962395443,0.1
218,15004.768362039564,0.1
219,14957.011467403368,0.1
220,18182.22832914981,0.1
221,13726.265382971185,0.1
222,10725.493431798803,0.1
223,15563.20813218323,0.1
224,15641.057645327899,0.1
225,26972.39423845207,0.1
226,25357.12992624695,0.1
226,19639.522887294526,0.1
227,15549.881592735106,0.1
228,13004.259175144547,0.1
229,14358.615379266605,0.1
230,17625.282628048066,0.1
231,14703.210350097053,0.1
232,35974.776885119936,0.1
233,10936.373661862657,0.1
234,16306.441458519486,0.1
235,16052.726835469815,0.1
236,16495.986742506127,0.1
237,14080.889418765631,0.1
238,12575.736992263593,0.1
239,14019.559820741495,0.1
240,26185.284152796357,0.1
241,15592.578384427594,0.1
242,17682.883357688283,0.1
243,12454.37420462801,0.1
244,14910.217789398532,0.1
245,13243.08558382342,0.1
245,11879.464449636112,0.1
245,9802.978275641233,0.1
245,29505.02621020182,0.1
246,16873.79928963221,0.1
247,13163.353556745733,0.1
248,28117.797563919576,0.1
249,12017.549130707937,0.1
250,14918.073650728858,0.1
251,14787.730219066745,0.1
252,17778.998603854223,0.1
253,18186.999387492167,0.1
253,11038.31329940762,0.1
254,16893.869759354027,0.1
255,11052.77935137618,0.1
256,14289.35802451995,0.1
257,25823.604337323122,0.1
258,22327.358158919247,0.1
259,12456.019337382259,0.1
260,13760.486970309308,0.1
261,17445.322198145404,0.1
262,17084.70709188631,0.1
263,33346.99924759106,0.1
264,20898.878206634094,0.1
265,12678.654144073738,0.1
266,12691.036958000452,0.1
267,18353.05367457099,0.1
268,26766.28394509532,0.1
269,11131.114019127584,0.1
270,11063.076000775054,0.1
271,28648.572907021575,0.1
272,17816.734624378918,0.1
273,11506.735441278652,0.1
274,14563.836074373647,0.1
275,23782.07671927252,0.1
276,11936.53753377087,0.1
277,21277.00057330976,0.1
278,35805.565375908525,0.1
279,15229.74355994046,0.1
280,14220.271852160284,0.1
281,11352.431625223235,0.1
282,10828.232843995289,0.1
283,13096.837677531556,0.1
284,11776.555893245946,0.1
285,22579.849778092404,0.1
285,-39999.8,0.1
286,-39999.8,0.1
287,-39999.8,0.1
288,-39973.38302932399,0.1
289,-39946.933877717296,0.1
290,-39973.35084839331,0.1
291,-39946.933877717296,0.1
292,-40004.8,0.1
293,-39946.933877717296,0.1
294,-39946.933877717296,0.1
295,-39946.933877717296,0.1
296,-39946.933877717296,0.1
297,-39946.933877717296,0.1
298,-39946.933877717296,0.1
299,-39946.933877717296,0.1
300,-39946.933877717296,0.1
301,-39946.933877717296,0.1
302,-39946.933877717296,0.1
303,-39946.933877717296,0.1
304,-39946.933877717296,0.1
305,-39946.933877717296,0.1
305,-39999.8,0.1
306,-39999.8,0.1
307,-39999.8,0.1
308,-39999.8,0.1
309,-39999.8,0.1
310,-39999.8,0.1
311,-39999.8,0.1
312,-39999.8,0.1
313,-39999.8,0.1
314,-39999.8,0.1
315,-39999.8,0.1
316,-39999.8,0.1
316,-39999.8,0.1
317,-39999.8,0.1
318,-39999.8,0.1
319,-39999.8,0.1
320,-39999.8,0.1
321,-39999.8,0.1
322,-39999.8,0.1
323,-39999.8,0.1
323,-2798.600000000001,0.1
324,-2692.771086772789,0.1
325,-2799.5882933717594,0.1
326,-2690.3185030577297,0.1
327,-2772.993570143721,0.1
327,22472.93929564105,0.1
328,26814.57355077448,0.1
329,24002.259064484333,0.1
330,15495.493328553699,0.1
331,47741.01930154276,0.1
332,19978.97843269349,0.1
333,22940.89586633142,0.1
334,12698.582950261192,0.1
335,11112.289778254337,0.1
336,31391.574780145176,0.1
337,16891.026363898865,0.1
338,31602.695126338556,0.1
339,18209.814969633837,0.1
340,10333.195371547949,0.1
341,18672.94147143256,0.1
342,11051.719008495857,0.1
343,18211.693709179377,0.1
344,15452.617292104344,0.1
345,27835.689246851158,0.1
346,13794.676892402978,0.1
347,13720.909788027786,0.1
348,14464.75429186086,0.1
349,11294.446315413505,0.1
350,26534.651239686696,0.1
351,12804.0264639481,0.1
352,11332.433353591674,0.1
353,11622.357256562715,0.1
353,16876.240693123076,0.1
354,14803.150501807564,0.1
355,11518.457281133124,0.1
356,12066.314552720934,0.1
357,15169.85402124677,0.1
358,10369.805609228652,0.1
359,10110.021086188044,0.1
360,14135.187956731195,0.1
360,19510.913182997287,0.1
361,13826.181848876107,0.1
362,10205.222048678721,0.1
363,10524.348571924771,0.1
363,13252.323074753065,0.1
363,12168.147319897535,0.1
364,12471.666704486483,0.1
365,13629.151765871024,0.1
366,9349.375486501198,0.1
367,18048.983287374514,0.1
368,12690.015439841034,0.1
369,16000.036686572816,0.1
370,15866.70996519452,0.1
370,9740.13535195349,0.1
371,12894.14800249326,0.1
372,12646.00719542343,0.1
373,16259.247500457235,0.1
373,11229.602583319047,0.1
374,13719.692494718547,0.1
375,10521.21943680767,0.1
376,16256.15673029419,0.1
376,14987.883759215421,0.1
377,11831.272517947535,0.1
377,20912.461933183302,0.1
377,13992.233200208499,0.1
378,13521.385161622038,0.1
379,16034.046951035543,0.1
380,8657.32533320622,0.1
380,15147.744248032022,0.1
381,20538.07582545251,0.1
382,15008.625854805827,0.1
383,11980.491967273007,0.1
384,24699.02217335555,0.1
385,13636.674559108866,0.1
385,19566.2916488143,0.34292978179756395
386,18419.374334815464,0.35
387,19893.754464255704,0.3186330523777463
388,205220.54698899697,0.35
389,9659.345691678529,0.35
390,19486.058616474824,0.35
391,11373.172008503368,0.35
392,21806.853285710637,0.35
393,10101.283251685949,0.35
394,11485.433949944909,0.26283370071954004
395,11012.91922634986,0.11185548491348639
396,19771.35711194618,0.35
397,9547.633376476659,0.35
398,23317.364223725715,0.35
399,10229.104553514755,0.14266535159924187
400,27955.803734520214,0.10054372275935225
401,11129.177355600063,0.10074908701038367
402,10348.094785438785,0.35
403,22378.09430015202,0.35
404,12371.635915011018,0.10060803371804986
405,21036.88558596884,0.35
406,9799.53702740234,0.35
407,25570.45320613865,0.35
408,11981.835307143909,0.1734760350432209
409,13683.718881764082,0.10251306704305913
410,20974.81856167257,0.1007841541720257
411,14559.883465844083,0.10682940030953446
412,15585.972070759031,0.35
413,11966.07619145188,0.11012567085301933
414,52080.65413836773,0.35
415,20949.50658436409,0.10000261127611895
416,19722.258985393404,0.10000106031829047
417,10728.848651092983,0.10108147067721107
418,12338.166014437298,0.35
419,10079.39949135763,0.10053539796583982
420,28621.6734124954,0.35
421,14282.607118406795,0.35
422,12111.709644888711,0.35
423,19276.57470328974,0.10000120675200808
424,15088.830254219236,0.10000100626810411
425,16799.045019260247,0.1000000060313085
426,14469.145541228692,0.35
427,13043.739391116897,0.35
428,19979.983266078307,0.29356499999999996
429,20511.392832879486,0.10043375094680043
430,11915.438246418435,0.35
431,15097.127610687045,0.208948840158808
432,11808.955782417284,0.35
433,21348.72072235294,0.10018367215371242
434,25997.36386221297,0.10000201762965097
435,12600.909836463086,0.10000000594695942
436,13983.863466602768,0.10000036194664146
437,13225.906677657407,0.10110461884008377
438,19796.034697607814,0.35
439,12036.950537615248,0.35
440,20058.506090410014,0.35
441,21907.168380318642,0.35
442,19897.436887503285,0.35
443,9734.095956192723,0.12851380414899424
444,16148.033047878938,0.10000000000000926
445,14010.985670658996,0.10000000037039777
446,14392.451502857019,0.35
447,12986.544797670083,0.10000204907368307
448,28940.880844562253,0.35
449,13290.411336741308,0.10000000437943259
450,12485.659270649978,0.10260159059335533
451,10853.020081307282,0.35
452,12321.007891005851,0.35
453,21373.600366953084,0.35
454,11579.450520475933,0.35
454,8174.493794948377,0.35
455,13587.822787204757,0.34696734586955197
455,18287.678510241876,0.35
456,21733.394342616317,0.2205221539632387
457,22422.031120262927,0.31196703266679104
458,11724.478857815848,0.13056170444369622
459,14242.326448538457,0.3006454154997733
460,9231.09323152589,0.14566676675945997
461,19376.275104620858,0.2143145783831929
462,20473.10406568053,0.35
463,16417.76144043369,0.1086847823708021
464,27069.972648778352,0.13087992689880096
465,13676.918092200629,0.14821996083901434
466,12062.903349808556,0.10000000993362565
467,9877.594804428722,0.1485162514535093
468,10267.159004144725,0.1000033755291459
469,11628.845846078006,0.35
470,11112.777732397006,0.10020247316368268
470,14600.47505418517,0.35
471,10968.604319576285,0.35
472,10940.496445935325,0.15625093948600874
473,9142.586755334494,0.31326439236597575
474,13152.558196429667,0.19902033678622058
475,12444.952824168879,0.1699729957916525
476,13080.914433171492,0.35
477,9303.600898962044,0.21076470939447145
478,13995.909819830726,0.20740997838050712
479,8206.652898373,0.35
480,8975.298231531313,0.35
481,29031.497965920888,0.35
482,24910.862556120977,0.35
483,11876.06786181719,0.19615251497219083
484,42684.42500354292,0.10004319588683819
485,26917.19632189239,0.35
486,19260.721617086692,0.10000000008900665
487,12206.070306450862,0.35
488,10401.74768089153,0.1279334154895945
489,13368.000037233316,0.35
490,13330.980799150871,0.1000006880865915
491,14087.678086496655,0.11900439141804485
492,22610.019950997415,0.11882935700360606
493,12682.887978827503,0.10022397611447352
494,9638.450612868175,0.1675317706458315
495,15712.388072742757,0.11931584512445849
496,12634.170376394017,0.10000000000000048
497,11237.72081194842,0.2075264858039995
498,13456.132117777805,0.35
499,11732.853439826831,0.13195846985155243
500,21317.591174714835,0.10018981934356416
501,22068.477850154424,0.10447368590657587
502,12654.53669541361,0.10000000204186142
503,13482.081692538211,0.10000000000001981
504,10718.892670967938,0.35
505,15705.299146505524,0.35
506,12889.091455022211,0.35
507,11980.040310526761,0.10000015329264086
508,11969.94949962334,0.35
509,9376.768616109948,0.10003113672549024
510,9353.190113230106,0.1674350653113984
511,15969.287699376428,0.10000000000000002
512,10739.87376653215,0.12206936819322745
513,12421.231109803126,0.1000000000003305
514,9941.650613942405,0.10017368420585625
515,19937.118818935312,0.10000000689043323
516,12923.713453208875,0.17811657158032002
517,13163.114680741994,0.10004064592143978
518,23116.48512669682,0.17276629117264
519,14748.314468958479,0.10000415917032578
520,14300.201300113134,0.10000000000000007
521,13380.233281952673,0.35
522,12351.079307451417,0.10001774205812008
523,13765.084646328449,0.10000000000069155
524,12223.398857820006,0.10000000000000299
525,9923.889323498215,0.10000000087142036
526,15269.720537588346,0.10000000000000002
527,15923.833557893078,0.35
528,13506.676496543347,0.35
529,12025.78980554698,0.185670363
530,24074.025104387758,0.35
531,24226.090144844096,0.35
532,11561.484825001846,0.10000000000000031
533,11199.480395275948,0.10000000000669616
534,29185.50665452941,0.10000000000000019
535,26583.392303637735,0.35
536,14959.970055017282,0.10522936652395745
537,13202.290662256966,0.1000000000134087
538,12621.617573272537,0.10000000000000002
539,11925.138870838164,0.35
540,12738.73258456579,0.1
541,17392.425981720466,0.10000000000002263
541,10733.732027240416,0.331065157933838
541,11251.412733264155,0.3307637296361591
542,13850.994454221354,0.3127340662381162
543,11140.452719383986,0.173114533050767
544,18640.932303343223,0.35
544,8859.881354267704,0.35
545,26828.16880545679,0.28239945620513335
546,18584.082661306315,0.35
547,25523.074863199145,0.35
548,11199.359550061376,0.18330216160506838
549,13889.78604328278,0.35
550,10232.882934582036,0.11241847398561818
550,17160.584214220224,0.34618963059999996
551,208667.4335743722,0.22790711369951597
552,10070.531935795534,0.20833332531100665
552,19637.815261805517,0.3306732787224604
553,39371.47083045256,0.35
554,19731.35685356216,0.1374949027721794
555,12119.27013317759,0.12669326164511366
555,18221.986447133586,0.35
556,30133.440581842355,0.35
556,22528.099615137708,0.1054336231984989
557,17984.609972668066,0.10000022601020177
558,10269.59818257837,0.10000000002081162
559,28614.81902523896,0.10000000000000016
560,14835.929893705932,0.10000000000000013
561,14262.913356790885,0.10000000000000012
562,14679.955563913754,0.1000000000000001
563,17494.83024035187,0.10000000000000009
564,18916.391972802237,0.10000000000000007
565,13900.78332203569,0.10000000000000006
566,13173.661380888987,0.10000000000000005
567,25591.905506813033,0.10000000000000003
567,19876.86922037413,0.10000000000000003
568,26357.573981133297,0.10000000000000003
569,15305.783530685918,0.10000000000000003
569,9008.580894591425,0.25
570,26004.30804429384,0.22721714743883167
571,9829.15524749219,0.25
572,11184.530005483355,0.25
573,12620.821513075716,0.1672080616622819
574,20878.020753150897,0.25
575,13336.337122003273,0.25
576,13059.947965119132,0.25
577,11929.27111103355,0.25
578,21663.523482907836,0.10239617538068994
579,13696.077502528917,0.19159701247692162
580,25640.730663339516,0.25
581,26221.64713382565,0.25
582,33645.06086945975,0.1137276251400477
583,8943.99925880013,0.12850652538517765
584,9768.45903755041,0.22106318663484414
585,20334.53058067301,0.25
586,11891.392241910238,0.25
586,9310.52732803194,0.14597068714796882
587,12003.70623824253,0.10089446806379483
588,1389543.838482115,0.10000000000000014
589,16685.996931002308,0.10000000000000012
590,9993.637030985428,0.1000000000000001
591,34815.7643478786,0.10000000000000009
592,14042.778248280814,0.10000000000000007
593,16235.82973363586,0.10000000000000006
594,15065.398464829912,0.10000000000000005
595,11203.75510775105,0.10000000000000003
596,18977.13956039553,0.10000000000000003
597,13174.70566965991,0.10000000000000002
598,16084.313036779906,0.10000000000000002
599,19597.18073944182,0.10000000000000002
600,12877.871553754136,0.10000000000000002
601,15410.85403952199,0.10000000000000002
602,12714.76073621016,0.10000000000000002
603,11645.984437292325,0.10000000000000002
604,17020.873572386794,0.10000000000000002
605,27965.022824894084,0.10000000000000002
606,40538.19398109123,0.10000000000000002
607,14952.757218527764,0.10000000000000002
608,12931.912772915692,0.10000000000000002
609,13493.557125598518,0.10000000000000002
610,23547.27217647748,0.1
611,13035.057572842092,0.1
611,26976.482400183602,0.19725395718877853
612,20435.432020021093,0.2
613,16964.094266914944,0.2
614,13401.213957825561,0.16242862795974536
615,47170.93894899611,0.2
616,13084.800563933644,0.2
617,14726.12182205589,0.2
618,11647.777670052908,0.2
619,12889.851663480787,0.2
620,14248.941409548874,0.2
621,21856.19677028525,0.19297713313408002
622,12852.137396665306,0.2
623,10682.668691011913,0.2
623,12216.998260759556,0.2
624,45621.34035766813,0.16448645648696972
625,11741.314414768844,0.18927091596268858
626,10658.347853828562,0.2
627,9791.40503896252,0.2
628,12242.270652945323,0.18183125231650604
629,13747.433013317308,0.2
630,13535.929364314608,0.2
631,10813.63956053277,0.2
632,21374.844321374658,0.2
633,56551.39721368424,0.2
634,11077.422632451211,0.2
635,11649.269253233108,0.2
636,11998.361947689415,0.15881506985869911
637,11802.960224374152,0.2
638,11865.486363674201,0.2
639,10313.634447901604,0.2
640,11670.779191047843,0.2
641,12288.959745767233,0.17556182834681144
642,14449.100804854625,0.2
642,11884.967141555453,0.10635016538875826
643,12618.23638134911,0.2
644,28929.944685115697,0.2
645,29228.19012001424,0.2
646,16459.66227201161,0.2
647,13292.620397227935,0.2
648,12415.453252131674,0.19213860871508737
648,28298.390735681674,0.18832456138287512
649,9767.37679796952,0.2
650,10900.78941409985,0.2
651,12449.691883240794,0.13801871219843223
652,13099.200337016979,0.2
653,13327.363593592008,0.18183125231650604
