timestamp,episode,total_reward,success,epsilon,steps,time_taken,distance_traveled
2025-05-14T20:04:22.735078,0,669.1000000000062,0,0.5,0,30,8.845500848896434
2025-05-14T20:04:55.828553,1,6305.700000000094,0,0.4975,1,30,17.831715210355988
2025-05-14T20:05:28.791718,2,6608.6000000000995,0,0.4950125,2,30,20.036363636363635
2025-05-14T20:06:01.847686,3,436.8000000000057,0,0.4925374375,3,30,6.187658495350803
2025-05-14T20:06:34.780783,4,459.80000000000547,0,0.49007475031250003,4,30,7.027027027027027
2025-05-14T20:07:07.723204,5,356.90000000000026,0,0.48762437656093754,5,30,9.394714407502132
2025-05-14T20:07:40.729881,6,386.70000000000266,0,0.48518625467813287,6,30,5.765004226542688
2025-05-14T20:08:13.667672,7,762.8000000000095,0,0.4827603234047422,7,30,7.018150388936906
2025-05-14T20:08:46.900223,8,203.89999999999776,0,0.4803465217877185,8,30,8.969594594594595
2025-05-14T20:09:19.897174,9,287.70000000000067,0,0.47794478917877986,9,30,3.4797297297297294
2025-05-14T20:10:22.866127,10,810.0000000000159,0,0.47555506523288593,10,60,1.396551724137931
2025-05-14T20:11:25.827900,11,834.3000000000129,0,0.4731772899067215,11,60,3.7331081081081083
2025-05-14T20:12:28.759405,12,1016.7000000000198,0,0.47081140345718786,12,60,4.577702702702703
2025-05-14T20:13:31.655256,13,1059.9000000000112,0,0.46845734643990194,13,60,5.5959425190194425
2025-05-14T20:14:34.846999,14,821.3000000000173,0,0.46611505970770245,14,60,3.39527027027027
2025-05-14T20:16:17.769194,14,2452.499999999939,0,0.46611505970770245,14,60,3.7331081081081083
2025-05-14T20:17:20.534976,15,2783.799999999945,0,0.4637844844091639,15,60,4.0916808149405774
2025-05-14T20:18:35.610705,16,5960.900000000205,0,0.4614655619871181,16,60,7.049028677150786
2025-05-14T20:19:38.637504,17,6399.399999999992,0,0.4591582341771825,17,60,11.83673469387755
2025-05-14T20:21:47.910991,18,58772.49999999577,1,0.4568624430062966,18,49,99.27927927927928
2025-05-14T20:22:36.699607,19,21532.499999999796,1,0.4545781307912651,19,46,96.66666666666667
2025-05-14T20:23:30.113364,20,22125.899999999696,1,0.4523052401373088,20,50,100
2025-05-14T20:24:22.437526,21,22234.599999999708,1,0.45004371393662224,21,49,100
2025-05-14T20:25:59.093003,21,28333.79999999906,1,0.45004371393662224,21,47,100
2025-05-14T20:28:31.818879,22,63963.29999999513,0,0.44779349536693913,22,53,100
2025-05-14T20:30:07.202293,23,43000.09999999751,1,0.4455545278901044,23,46,94.95652173913044
2025-05-14T20:31:10.353625,24,2218.0999999999626,0,0.4433267552506539,24,60,9.599303135888501
2025-05-14T20:32:13.560807,25,2565.899999999968,0,0.44111012147440065,25,60,9.90116801437556
2025-05-14T20:36:20.582980,26,113934.90000001511,0,0.43890457086702866,26,26,0
2025-05-14T20:37:24.052065,27,27313.59999999917,0,0.43671004801269353,27,11,0
2025-05-14T20:38:48.688529,28,37853.89999999809,1,0.4345264977726301,28,1,79.43925233644859
2025-05-14T20:43:35.320328,29,127270.10000002083,1,0.4323538652837669,29,51,99.27272727272727
2025-05-14T20:46:37.949011,30,88958.80000000472,1,0.4301920959573481,30,48,100
2025-05-14T20:48:17.858296,31,46375.9999999972,1,0.42804113547756134,31,49,98.39285714285714
2025-05-14T20:55:35.992929,32,207733.60000005373,1,0.4259009298001735,32,47,96.66666666666667
2025-05-14T21:00:01.288613,33,126455.00000002008,1,0.42377142515117266,33,47,94.95652173913044
2025-05-14T21:05:37.174056,34,159834.30000003465,1,0.4216525680254168,34,47,95.0
2025-05-14T21:33:10.616802,34,369684.2999998983,1,0.4216525680254168,34,44,98.39285714285714
2025-05-14T21:34:20.850781,35,32867.199999998615,1,0.4195443051852897,35,45,98.39285714285714
2025-05-14T21:35:23.789399,36,1964.099999999971,0,0.4174465836593632,36,60,3.3136094674556213
2025-05-14T21:44:12.007512,37,266842.2000000664,1,0.4153593507410664,37,44,96.66666666666667
2025-05-14T21:45:25.510546,38,34914.299999998395,1,0.4132825539873611,38,45,96.66666666666667
2025-05-14T21:46:12.381590,39,22073.599999999748,1,0.4112161412174243,39,44,100
2025-05-14T21:47:15.365925,40,3257.799999999927,0,0.40916006051133713,40,60,9.952696310312206
2025-05-14T21:48:41.506366,41,39927.39999999794,1,0.40711426020878044,41,45,98.39285714285714
2025-05-14T21:53:14.212115,42,128584.20000002117,1,0.4050786889077365,42,50,100
2025-05-14T22:00:46.861932,43,217395.6000000567,1,0.40305329546319785,43,48,100
2025-05-14T22:02:35.145211,44,50794.599999996855,1,0.40103802898588187,44,46,99.27927927927928
2025-05-14T22:05:35.031155,45,88190.30000000443,1,0.3990328388409525,45,49,95.82608695652173
2025-05-14T22:06:24.122797,46,21553.599999999777,1,0.3970376746467477,46,46,100
2025-05-14T22:07:15.352288,47,24378.4999999995,1,0.39505248627351397,47,48,100
2025-05-14T22:08:58.931880,48,40457.49999999793,0,0.3930772238421464,48,61,45.53719008264463
2025-05-14T22:09:50.952563,49,22983.29999999965,1,0.3911118377229357,49,49,100
2025-05-14T22:12:46.511318,50,83731.00000000256,1,0.389156278534321,50,48,98.39285714285714
2025-05-14T22:13:38.306220,51,23556.09999999959,1,0.3872104971416494,51,48,95.0
2025-05-14T22:17:15.652479,52,102225.00000000976,1,0.38527444465594113,52,53,100
2025-05-14T22:18:04.848134,53,22750.299999999654,1,0.38334807243266145,53,45,100
2025-05-14T22:19:03.786161,54,25989.09999999934,1,0.3814313320704981,54,56,100
