Episode,Total Reward,Epsilon
0,2553.5178701582777,1.0
1,3546.681614014114,0.997
2,2866.9057867797314,0.994009
3,3175.107479149737,0.991026973
4,3580.835517359284,0.988053892081
5,4986.000877593746,0.985089730404757
6,4221.869486144412,0.9821344612135428
7,2699.70219978176,0.9791880578299021
8,2592.8002211246194,0.9762504936564125
9,2390.48205111583,0.9733217421754432
10,6049.922723634137,0.9704017769489168
11,2128.082051115823,0.9674905716180701
12,1821.4820511158164,0.9645880999032158
13,1945.0446158556297,0.9616943356035061
14,2780.0820511158486,0.9588092525966956
15,2241.800877593585,0.9559328248389055
16,1860.8441097973487,0.9530650263643888
17,2691.20022112463,0.9502058312852957
18,1802.6008775935775,0.9473552137914398
19,2407.7746566568508,0.9445131481500655
20,1876.0008775935755,0.9416796087056153
21,1649.4008775935808,0.9388545698794984
22,1555.8056469293979,0.93603800616986
23,1491.518039902832,0.9332298921513504
24,3362.9746566569256,0.9304302024748964
25,2170.122723633935,0.9276389118674717
26,1795.322723633933,0.9248559951318693
27,1499.4002211246031,0.9220814271464737
28,1542.1635195881463,0.9193151828650342
29,1372.4002211246038,0.9165572373164391
30,1902.20087759358,0.9138075656044898
31,2018.4441097973502,0.9110661429076764
32,1673.244615855635,0.9083329444789534
33,1771.7227236339365,0.9056079456455165
34,2107.7180399028293,0.90289112180858
35,1814.3746566568411,0.9001824484431542
36,2316.1253288157736,0.8974819010978248
37,1741.2002211245983,0.8947894553945313
38,1272.3180399028342,0.8921050870283477
39,1344.0056469294013,0.8894287717672626
40,1452.4008775935843,0.8867604854519608
41,1388.163519588149,0.884100203995605
42,1491.6008775935823,0.8814479033836181
43,1415.9635195881513,0.8788035596734672
44,1197.4441097973547,0.8761671489944468
45,930.9635195881551,0.8735386475474635
46,1385.1180399028326,0.8709180316048211
47,1029.0820511158288,0.8683052775100066
48,1740.3635195881488,0.8657003616774767
49,1637.3227236339394,0.8631032605924442
50,1824.6446158556346,0.860513950810667
51,1301.5635195881525,0.857932408958235
52,1651.800877593583,0.8553586117313603
53,1555.563519588149,0.8527925358961662
54,1355.8441097973562,0.8502341582884777
55,1649.8446158556399,0.8476834558136123
56,1281.8002211246073,0.8451404054461714
57,2088.04213516855,0.8426049842298329
58,1218.563519588152,0.8400771692771434
59,2106.3746566568466,0.837556937769312
60,1321.2002211246074,0.835044266956004
61,1615.2441097973565,0.8325391341551359
62,1834.7257882864549,0.8300415167526705
63,1338.4008775935868,0.8275513922024125
64,1504.6441097973548,0.8250687380258053
65,1469.322723633941,0.8225935318117279
