Episode,Total Reward,Epsilon
0,1171.8999999999592,0.62
0,643.9999999999632,0.62
1,1732.8999999999287,0.62
2,762.2999999999588,0.62
3,-93.30000000001792,0.62
4,719.0999999999526,0.62
5,1849.299999999927,0.6169
6,301.19999999997344,0.6169
7,313.49999999997453,0.6169
8,-460.70000000001005,0.6169
9,-89.80000000001587,0.6169
10,134.6999999999789,0.6138155
11,1398.199999999947,0.6138155
12,202.99999999997453,0.6138155
13,-121.00000000001751,0.6138155
14,-1.700000000019827,0.6138155
15,990.4999999999532,0.6107464225
16,-237.30000000001382,0.6107464225
16,-2188.9000000000005,0.6107464225
17,-819.4000000000051,0.6107464225
18,-1245.6000000000008,0.6107464225
19,-1361.0000000000027,0.6107464225
20,-1848.000000000004,0.6076926903875
